Название,Способ обработки,Тип,Описание,Плотность,Кислотность,Количество,Единица,Цена,Цена за кг/шт,Рейтинг,Число отзывов
Кэнди,смесь,капсулы для nespresso,"Плотный кофе с нотами тёмной карамели , цукатов и специй",1.0,0.2,10,шт,449,44.9,4.5,93
Колумбия Богота,мытый,капсулы для nespresso,"Сочный кофе с нотами тёмного винограда , красного яблока и тёмного шоколада",0.6,0.8,10,шт,459,45.9,4.6,91
Руанда Киву,мытый,дрип-пакеты,"Яркий кофе с нотами вишни , грейпфрута и тёмного шоколада",0.6,0.8,10,шт,599,59.9,4.7,227
Эфиопия Гуджи,натуральный,капсулы для nespresso,"Сладкий кофе с нотами грейпфрута , тёмных ягод и молочного шоколада",0.6,0.6,10,шт,459,45.9,4.5,67
Флорал,смесь,для эспрессо,"Лёгкий кофе с нотами цветов , тёмных ягод и цитрусовых",0.4,0.8,1000,г,2779,2779.0,4.6,654
Колумбия Уила,мытый,дрип-пакеты,"Сочный кофе с нотами красного яблока , тёмного винограда и какао",0.6,0.8,10,шт,599,59.9,4.7,685
Эфиопия Сидамо,мытый,дрип-пакеты,"Лёгкий кофе с нотами цветов , желтых фруктов и спелого лимона",0.2,0.6,10,шт,659,65.9,4.7,278
Колумбия Декаф,"без кофеина, этилацетат",дрип-пакеты,"Кофе без кофеина с нотами чернослива , красного яблока и тёмного шоколада",0.4,0.8,10,шт,699,69.9,4.7,194
Кения Маунт,мытый,дрип-пакеты,"Сочный кофе с нотами красной смородины , какао и чёрного чая",0.4,1.0,10,шт,599,59.9,4.7,208
Кения Маунт,мытый,дрип-пакеты,"Сочный кофе с нотами красной смородины , какао и чёрного чая",0.4,1.0,30,шт,1639,54.63,4.9,47
Эфиопия Сидамо,мытый,дрип-пакеты,"Лёгкий кофе с нотами цветов , желтых фруктов и спелого лимона",0.2,0.6,30,шт,1779,59.3,4.8,48
Бэрри,смесь,концентрат,"Плотный кофе с нотами ореховой пасты , тёмных ягод и печенья",0.8,0.4,3,л,4349,1449.67,4.5,104
Фанки,смесь,капсулы для nespresso,"Яркий кофе с нотами ягодного джема , цветочного мёда и тёмной карамели",0.6,0.8,10,шт,479,47.9,4.4,1
Колумбия Эль Индио,натуральный фанки,для эспрессо,"Яркий кофе с нотами ананаса , лайма , ежевики и рома со специями",0.8,0.8,1000,г,3599,3599.0,4.8,121
КолумбияБочка Фелипе Арчила,инфьюзд,для фильтра,"Яркий кофе с нотами вишни , лакрицы , виски и коньячной конфеты",0.8,0.8,1000,г,4429,4429.0,5.0,39
КолумбияХайро Арчила,натуральный фанки,для фильтра,"Яркий кофе с нотами грейпфрута , зелёного яблока , ежевики , тёмного шоколада и вермута",0.8,0.8,1000,г,3479,3479.0,5.0,5
Бурунди Кайяве,мытый,для эспрессо,"Сочный кофе с нотами красной смородины , вишни , шиповника и тёмного шоколада",0.6,0.8,1000,г,2659,2659.0,0.0,3
Руанда Махембе,хани,для эспрессо,"Сочный кофе с нотами лайма , абрикоса , чёрного чая и специй",0.6,0.8,1000,г,3119,3119.0,0.0,0
Руанда Кагано,натуральный,для эспрессо,"Сладкий кофе с нотами нектарина , черники , жёлтого яблока и чернослива",0.6,0.8,1000,г,3119,3119.0,4.9,11
КолумбияГуставо Вега,мытый,для эспрессо,"Сочный кофе с нотами апельсина , зелёного яблока , чёрной смородины и какао",0.6,0.8,1000,г,4009,4009.0,0.0,0
Колумбия Маракай,натуральный фанки,для фильтра,"Яркий кофе с нотами папайи , лайма , красного вина и тёмного шоколада",0.6,0.8,1000,г,3499,3499.0,4.8,52
КолумбияДиофанор Руис,натуральный,для эспрессо,"Яркий кофе с нотами красного яблока , тёмного винограда , нектарина и какао",0.6,0.8,1000,г,3839,3839.0,4.7,14
РуандаКагано Анаэробный,натуральный фанки,для фильтра,"Яркий кофе с нотами зелёного яблока , клубники , манго , белого вермута и пудры какао",0.6,0.8,1000,г,3289,3289.0,4.8,152
